rok,kod_teryt,jednostka,przyrost_naturalny_na_1000
2010,030200000000,DOLNOŚLĄSKIE,-0.06
2010,040400000000,KUJAWSKO-POMORSKIE,1.02
2010,060600000000,LUBELSKIE,-0.18
2010,020800000000,LUBUSKIE,1.42
2010,071400000000,MAZOWIECKIE,1.4
2010,011200000000,MAŁOPOLSKIE,2.23
2010,031600000000,OPOLSKIE,-0.71
2010,061800000000,PODKARPACKIE,1.74
2010,062000000000,PODLASKIE,0.09
2010,042200000000,POMORSKIE,3.33
2010,042800000000,WARMIŃSKO-MAZURSKIE,1.95
2010,023000000000,WIELKOPOLSKIE,2.87
2010,023200000000,ZACHODNIOPOMORSKIE,0.47
2010,051000000000,ŁÓDZKIE,-2.24
2010,012400000000,ŚLĄSKIE,0.02
2010,052600000000,ŚWIĘTOKRZYSKIE,-1.21
2010,000000000000,POLSKA,0.9
